Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 26",ARI,@,LAD,L,2.0,8.0,9.0,0-1,3.0,1.0,Yamamoto,Gallen,None,2:39,N,53712.0,.92,-1.0,
"Friday, Mar 27",ARI,@,LAD,L,4.0,5.0,9.0,0-2,3.0,2.0,Henriquez,Ginkel,Díaz,2:51,N,51540.0,.92,-2.0,
"Saturday, Mar 28",ARI,@,LAD,L,2.0,3.0,9.0,0-3,4.0,3.0,Klein,Morillo,Díaz,2:30,N,53340.0,1.21,-3.0,
"Monday, Mar 30",ARI,Home,DET,W,9.0,6.0,9.0,1-3,2.0,2.0,Soroka,Verlander,Sewald,3:07,N,48350.0,.99,1.0,
"Tuesday, Mar 31",ARI,Home,DET,W,7.0,5.0,9.0,2-3,2.0,2.0,Hoffmann,Vest,Sewald,2:29,N,28780.0,.95,2.0,
"Wednesday, Apr 1",ARI,Home,DET,W,1.0,0.0,9.0,3-3,2.0,1.0,Gallen,Skubal,Loaisiga,2:10,D,23166.0,1.10,3.0,
"Thursday, Apr 2",ARI,Home,ATL,L,2.0,17.0,9.0,3-4,2.0,1.5,López,Nelson,Bido,2:54,N,21600.0,.71,-1.0,
"Friday, Apr 3",ARI,Home,ATL,L,0.0,2.0,9.0,3-5,2.0,2.5,Suarez,Sewald,Iglesias,2:18,N,29192.0,.82,-2.0,
"Saturday, Apr 4",ARI,Home,ATL,W,2.0,1.0,9.0,4-5,2.0,2.5,Soroka,Elder,Sewald,2:14,D,37457.0,1.06,1.0,
"Sunday, Apr 5",ARI,Home,ATL,W-wo,6.0,5.0,10.0,5-5,2.0,2.5,Rashi,Payamps,None,2:55,D,25814.0,1.15,2.0,
"Tuesday, Apr 7",ARI,@,NYM,L-wo,3.0,4.0,10.0,5-6,2.0,4.0,Weaver,Sewald,None,3:08,D,34753.0,.67,-1.0,
"Wednesday, Apr 8",ARI,@,NYM,W,7.0,2.0,9.0,6-6,2.0,3.0,Nelson,Peterson,None,2:42,D,33422.0,.77,1.0,
"Thursday, Apr 9",ARI,@,NYM,W,7.0,1.0,9.0,7-6,2.0,2.5,Rodríguez,McLean,None,2:41,N,35783.0,1.10,2.0,
"Friday, Apr 10",ARI,@,PHI,W,5.0,4.0,9.0,8-6,2.0,2.5,Soroka,Luzardo,Sewald,2:36,N,41683.0,1.21,3.0,
"Saturday, Apr 11",ARI,@,PHI,L,3.0,4.0,9.0,8-7,3.0,3.5,Walker,Pfaadt,Duran,2:35,D,41201.0,.84,-1.0,
"Sunday, Apr 12",ARI,@,PHI,W,4.0,3.0,9.0,9-7,3.0,2.5,Clarke,Alvarado,Sewald,2:53,D,43060.0,1.11,1.0,
"Monday, Apr 13",ARI,@,BAL,L,7.0,9.0,9.0,9-8,3.0,3.5,Suárez,Loaisiga,Helsley,2:48,N,10289.0,.73,-1.0,
"Tuesday, Apr 14",ARI,@,BAL,W,4.0,3.0,9.0,10-8,3.0,3.5,Kelly,Rogers,Sewald,2:51,N,13524.0,.84,1.0,
"Wednesday, Apr 15",ARI,@,BAL,W,8.0,5.0,10.0,11-8,3.0,3.5,Thompson,Wells,Morillo,2:47,D,17028.0,.47,2.0,
"Friday, Apr 17",ARI,Home,TOR,W,6.0,3.0,9.0,12-8,3.0,3.5,Soroka,Lauer,Sewald,2:26,N,32747.0,1.01,3.0,
"Saturday, Apr 18",ARI,Home,TOR,W,6.0,2.0,9.0,13-8,3.0,2.5,Morillo,Hoffman,None,2:22,N,36946.0,.97,4.0,
"Sunday, Apr 19",ARI,Home,TOR,L,4.0,10.0,9.0,13-9,3.0,2.5,Gausman,Nelson,None,2:33,D,32240.0,.67,-1.0,
"Tuesday, Apr 21",ARI,Home,CHW,L,5.0,11.0,9.0,13-10,3.0,3.0,Burke,Kelly,None,2:58,N,23045.0,.95,-2.0,
"Wednesday, Apr 22",ARI,Home,CHW,W,11.0,7.0,9.0,14-10,3.0,2.0,Rodríguez,Kay,None,3:02,N,20799.0,1.11,1.0,
"Thursday, Apr 23",ARI,Home,CHW,L,1.0,4.0,9.0,14-11,3.0,3.0,Taylor,Sewald,Domínguez,2:37,D,20405.0,1.01,-1.0,
"Saturday, Apr 25",ARI,Home,SDP,L,4.0,6.0,9.0,14-12,3.0,4.0,Márquez,Clarke,Miller,2:52,D,19630.0,1.18,-2.0,
"Sunday, Apr 26",ARI,Home,SDP,W,12.0,7.0,9.0,15-12,3.0,3.5,Thompson,Rodriguez,None,3:03,D,19671.0,.86,1.0,
"Tuesday, Apr 28",ARI,@,MIL,L,2.0,13.0,9.0,15-13,3.0,4.0,Patrick,Kelly,Woodford,2:57,N,23063.0,1.19,-1.0,
"Wednesday, Apr 29",ARI,@,MIL,W,6.0,2.0,9.0,16-13,3.0,3.0,Ginkel,Sproat,None,2:55,N,24540.0,1.31,1.0,
"Thursday, Apr 30",ARI,@,MIL,L,1.0,13.0,9.0,16-14,3.0,3.5,Drohan,Soroka,None,2:50,D,26849.0,1.45,-1.0,
"Friday, May 1",ARI,@,CHC,L,5.0,6.0,9.0,16-15,3.0,3.5,Rea,Gallen,Webb,2:52,D,31083.0,.88,-2.0,
"Saturday, May 2",ARI,@,CHC,L,0.0,2.0,9.0,16-16,3.0,3.5,Imanaga,Nelson,Brown,2:27,D,36907.0,.80,-3.0,
"Sunday, May 3",ARI,@,CHC,L,4.0,8.0,9.0,16-17,3.0,4.5,Boyd,Kelly,None,2:45,D,35597.0,.96,-4.0,
"Tuesday, May 5",ARI,Home,PIT,W,9.0,0.0,9.0,17-17,3.0,4.0,Rodríguez,Chandler,None,2:33,N,22410.0,.90,1.0,
"Wednesday, May 6",ARI,Home,PIT,L,0.0,1.0,9.0,17-18,3.0,5.0,Skenes,Soroka,Soto,2:15,N,21719.0,.66,-1.0,
"Thursday, May 7",ARI,Home,PIT,L,2.0,4.0,9.0,17-19,3.0,5.5,Keller,Gallen,Soto,2:33,D,21827.0,1.02,-2.0,
"Friday, May 8",ARI,Home,NYM,L,1.0,3.0,10.0,17-20,3.0,6.5,Williams,Ginkel,Myers,2:44,N,30599.0,.84,-3.0,
"Saturday, May 9",ARI,Home,NYM,W,2.0,1.0,9.0,18-20,3.0,5.5,Kelly,Holmes,Sewald,2:31,D,38726.0,.69,1.0,
"Sunday, May 10",ARI,Home,NYM,W,5.0,1.0,9.0,19-20,3.0,4.5,Rodríguez,Brazobán,None,2:16,D,40170.0,.66,2.0,
"Monday, May 11",ARI,@,TEX,W,1.0,0.0,9.0,20-20,3.0,4.0,Soroka,Junis,Sewald,2:21,N,22651.0,.48,3.0,
"Tuesday, May 12",ARI,@,TEX,L,4.0,7.0,9.0,20-21,3.0,4.0,Gore,Gallen,Latz,2:35,N,23160.0,.83,-1.0,
"Wednesday, May 13",ARI,@,TEX,L-wo,5.0,6.0,9.0,20-22,3.0,5.0,Quantrill,Sewald,None,3:07,N,26049.0,1.11,-2.0,
"Friday, May 15",ARI,@,COL,W,9.0,1.0,9.0,21-22,3.0,5.0,Kelly,Freeland,None,2:32,N,27557.0,.61,1.0,
"Saturday, May 16",ARI,@,COL,L,2.0,4.0,9.0,21-23,3.0,6.0,Sugano,Rodríguez,Senzatela,3:07,D,34405.0,.71,-1.0,
"Sunday, May 17",ARI,@,COL,W,8.0,6.0,9.0,22-23,3.0,6.0,Soroka,Lorenzen,Sewald,2:59,D,24955.0,.87,1.0,
"Monday, May 18",ARI,Home,SFG,W,12.0,2.0,9.0,23-23,3.0,5.5,Gallen,Ray,None,2:26,N,20072.0,1.23,2.0,
"Tuesday, May 19",ARI,Home,SFG,W-wo,5.0,3.0,9.0,24-23,3.0,5.0,Loaisiga,Kilian,None,2:38,N,19548.0,.81,3.0,
"Wednesday, May 20",ARI,Home,SFG,W,6.0,3.0,9.0,25-23,3.0,5.0,Kelly,Mahle,Sewald,2:18,D,17748.0,.87,4.0,
"Thursday, May 21",ARI,Home,COL,W-wo,2.0,1.0,9.0,26-23,3.0,4.5,Sewald,Mejia,None,2:43,N,14761.0,1.23,5.0,
"Friday, May 22",ARI,Home,COL,L,2.0,3.0,9.0,26-24,3.0,4.5,Senzatela,Thompson,None,2:53,N,29945.0,.65,-1.0,
"Saturday, May 23",ARI,Home,COL,W,5.0,4.0,9.0,27-24,3.0,4.5,Gallen,Lorenzen,Sewald,2:40,N,33891.0,.59,1.0,
"Sunday, May 24",ARI,Home,COL,W,9.0,1.0,9.0,28-24,3.0,4.5,Nelson,Quintana,None,2:18,D,30037.0,.83,2.0,
"Monday, May 25",ARI,@,SFG,W,6.0,2.0,9.0,29-24,3.0,4.5,Kelly,Roupp,None,2:36,D,38380.0,1.34,3.0,
"Tuesday, May 26",ARI,@,SFG,W,7.0,5.0,9.0,30-24,3.0,4.5,Rodríguez,Mahle,Sewald,2:38,N,32336.0,1.11,4.0,
"Wednesday, May 27",ARI,@,SFG,W,3.0,2.0,9.0,31-24,2.0,4.5,Soroka,McDonald,Sewald,2:21,D,33258.0,1.29,5.0,
"Friday, May 29",ARI,@,SEA,L-wo,6.0,7.0,10.0,31-25,3.0,5.5,Criswell,Morillo,None,3:10,N,44198.0,.97,-1.0,
"Saturday, May 30",ARI,@,SEA,L,1.0,5.0,9.0,31-26,3.0,5.5,Woo,Nelson,None,2:31,N,44364.0,.98,-2.0,
"Sunday, May 31",ARI,@,SEA,L-wo,2.0,3.0,10.0,31-27,3.0,6.5,Castillo,Loaisiga,None,2:57,D,41897.0,1.11,-3.0,
"Monday, Jun 1",ARI,Home,LAD,W,4.0,1.0,9.0,32-27,3.0,5.5,Clarke,Sheehan,Sewald,2:18,N,31410.0,.74,1.0,
"Tuesday, Jun 2",ARI,Home,LAD,L,5.0,6.0,9.0,32-28,3.0,6.5,Treinen,Soroka,Scott,3:07,N,32829.0,1.39,-1.0,
"Wednesday, Jun 3",ARI,Home,LAD,L,0.0,7.0,9.0,32-29,3.0,7.5,Ohtani,Gallen,None,3:04,N,36213.0,1.73,-2.0,
"Thursday, Jun 4",ARI,Home,LAD,W-wo,3.0,2.0,9.0,33-29,2.0,6.5,Sewald,Scott,None,2:22,N,41999.0,1.09,1.0,
"Friday, Jun 5",ARI,Home,WSN,L,1.0,14.0,9.0,33-30,2.0,7.5,Griffin,Kelly,None,2:39,N,24272.0,1.05,-1.0,
"Saturday, Jun 6",ARI,Home,WSN,L,1.0,6.0,9.0,33-31,3.0,8.5,Littell,Rodríguez,Lord,2:23,D,30638.0,1.17,-2.0,
"Sunday, Jun 7",ARI,Home,WSN,W,5.0,1.0,9.0,34-31,2.0,7.5,Soroka,Cavalli,None,2:32,D,35540.0,1.41,1.0,
"Tuesday, Jun 9",ARI,@,MIA,L,6.0,10.0,9.0,34-32,2.0,8.5,Fairbanks,Garcia,None,3:08,N,8372.0,1.03,-1.0,
"Wednesday, Jun 10",ARI,@,MIA,L,0.0,8.0,9.0,34-33,3.0,8.5,Kempner,Nelson,None,2:39,N,7729.0,.48,-2.0,
"Thursday, Jun 11",ARI,@,MIA,L,0.0,2.0,9.0,34-34,3.0,9.5,Phillips,Kelly,Fairbanks,2:18,D,8580.0,.82,-3.0,
"Friday, Jun 12",ARI,@,CIN,W,5.0,2.0,9.0,35-34,3.0,8.5,Ginkel,Burke,Sewald,3:29,N,29803.0,.97,1.0,
"Saturday, Jun 13",ARI,@,CIN,L,1.0,2.0,9.0,35-35,3.0,9.5,Petty,Morillo,Santillan,2:22,D,27563.0,.97,-1.0,
"Sunday, Jun 14",ARI,@,CIN,W,5.0,3.0,9.0,36-35,3.0,8.5,Morillo,Maxwell,Sewald,2:39,D,22946.0,.73,1.0,
"Monday, Jun 15",ARI,Home,LAA,W,4.0,3.0,9.0,37-35,3.0,8.5,Nelson,Ureña,Sewald,2:17,N,29457.0,.69,2.0,
"Tuesday, Jun 16",ARI,Home,LAA,L,0.0,7.0,9.0,37-36,3.0,9.5,Detmers,Kelly,None,2:29,N,36905.0,1.27,-1.0,
"Wednesday, Jun 17",ARI,Home,LAA,W,8.0,1.0,9.0,38-36,3.0,9.5,Rodríguez,Aldegheri,None,2:29,D,28433.0,.32,1.0,
"Friday, Jun 19",ARI,Home,MIN,W,9.0,5.0,9.0,39-36,2.0,9.5,Loaisiga,Prielipp,None,2:57,N,25110.0,.60,2.0,
"Saturday, Jun 20",ARI,Home,MIN,L,8.0,16.0,9.0,39-37,3.0,9.5,Bradley,Gallen,None,3:12,N,30575.0,1.07,-1.0,
"Sunday, Jun 21",ARI,Home,MIN,,,,,,,,,,,,,,,,
"Monday, Jun 22",ARI,@,STL,,,,,,,,,,,,,,,,
"Tuesday, Jun 23",ARI,@,STL,,,,,,,,,,,,,,,,
"Wednesday, Jun 24",ARI,@,STL,,,,,,,,,,,,,,,,
"Thursday, Jun 25",ARI,@,STL,,,,,,,,,,,,,,,,
"Friday, Jun 26",ARI,@,TBR,,,,,,,,,,,,,,,,
"Saturday, Jun 27",ARI,@,TBR,,,,,,,,,,,,,,,,
"Sunday, Jun 28",ARI,@,TBR,,,,,,,,,,,,,,,,
"Monday, Jun 29",ARI,Home,SFG,,,,,,,,,,,,,,,,
"Tuesday, Jun 30",ARI,Home,SFG,,,,,,,,,,,,,,,,
"Wednesday, Jul 1",ARI,Home,SFG,,,,,,,,,,,,,,,,
"Friday, Jul 3",ARI,Home,MIL,,,,,,,,,,,,,,,,
"Saturday, Jul 4",ARI,Home,MIL,,,,,,,,,,,,,,,,
"Sunday, Jul 5",ARI,Home,MIL,,,,,,,,,,,,,,,,
"Monday, Jul 6",ARI,@,SDP,,,,,,,,,,,,,,,,
"Tuesday, Jul 7",ARI,@,SDP,,,,,,,,,,,,,,,,
"Wednesday, Jul 8",ARI,@,SDP,,,,,,,,,,,,,,,,
"Thursday, Jul 9",ARI,@,SDP,,,,,,,,,,,,,,,,
"Friday, Jul 10",ARI,@,LAD,,,,,,,,,,,,,,,,
"Saturday, Jul 11",ARI,@,LAD,,,,,,,,,,,,,,,,
"Sunday, Jul 12",ARI,@,LAD,,,,,,,,,,,,,,,,
"Friday, Jul 17",ARI,Home,STL,,,,,,,,,,,,,,,,
"Saturday, Jul 18",ARI,Home,STL,,,,,,,,,,,,,,,,
"Sunday, Jul 19",ARI,Home,STL,,,,,,,,,,,,,,,,
"Monday, Jul 20",ARI,Home,ATH,,,,,,,,,,,,,,,,
"Tuesday, Jul 21",ARI,Home,ATH,,,,,,,,,,,,,,,,
"Wednesday, Jul 22",ARI,Home,ATH,,,,,,,,,,,,,,,,
"Friday, Jul 24",ARI,@,WSN,,,,,,,,,,,,,,,,
"Saturday, Jul 25",ARI,@,WSN,,,,,,,,,,,,,,,,
"Sunday, Jul 26",ARI,@,WSN,,,,,,,,,,,,,,,,
"Monday, Jul 27",ARI,@,PIT,,,,,,,,,,,,,,,,
"Tuesday, Jul 28",ARI,@,PIT,,,,,,,,,,,,,,,,
"Wednesday, Jul 29",ARI,@,PIT,,,,,,,,,,,,,,,,
"Friday, Jul 31",ARI,@,CLE,,,,,,,,,,,,,,,,
"Saturday, Aug 1",ARI,@,CLE,,,,,,,,,,,,,,,,
"Sunday, Aug 2",ARI,@,CLE,,,,,,,,,,,,,,,,
"Monday, Aug 3",ARI,Home,SDP,,,,,,,,,,,,,,,,
"Tuesday, Aug 4",ARI,Home,SDP,,,,,,,,,,,,,,,,
"Wednesday, Aug 5",ARI,Home,SDP,,,,,,,,,,,,,,,,
"Thursday, Aug 6",ARI,Home,SDP,,,,,,,,,,,,,,,,
"Friday, Aug 7",ARI,Home,LAD,,,,,,,,,,,,,,,,
"Saturday, Aug 8",ARI,Home,LAD,,,,,,,,,,,,,,,,
"Sunday, Aug 9",ARI,Home,LAD,,,,,,,,,,,,,,,,
"Monday, Aug 10",ARI,Home,COL,,,,,,,,,,,,,,,,
"Tuesday, Aug 11",ARI,Home,COL,,,,,,,,,,,,,,,,
"Wednesday, Aug 12",ARI,Home,COL,,,,,,,,,,,,,,,,
"Friday, Aug 14",ARI,@,ATL,,,,,,,,,,,,,,,,
"Saturday, Aug 15",ARI,@,ATL,,,,,,,,,,,,,,,,
"Sunday, Aug 16",ARI,@,ATL,,,,,,,,,,,,,,,,
"Monday, Aug 17",ARI,@,BOS,,,,,,,,,,,,,,,,
"Tuesday, Aug 18",ARI,@,BOS,,,,,,,,,,,,,,,,
"Wednesday, Aug 19",ARI,@,BOS,,,,,,,,,,,,,,,,
"Friday, Aug 21",ARI,Home,CIN,,,,,,,,,,,,,,,,
"Saturday, Aug 22",ARI,Home,CIN,,,,,,,,,,,,,,,,
"Sunday, Aug 23",ARI,Home,CIN,,,,,,,,,,,,,,,,
"Monday, Aug 24",ARI,Home,CHC,,,,,,,,,,,,,,,,
"Tuesday, Aug 25",ARI,Home,CHC,,,,,,,,,,,,,,,,
"Wednesday, Aug 26",ARI,Home,CHC,,,,,,,,,,,,,,,,
"Thursday, Aug 27",ARI,@,SFG,,,,,,,,,,,,,,,,
"Friday, Aug 28",ARI,@,SFG,,,,,,,,,,,,,,,,
"Saturday, Aug 29",ARI,@,SFG,,,,,,,,,,,,,,,,
"Sunday, Aug 30",ARI,@,SFG,,,,,,,,,,,,,,,,
"Monday, Aug 31",ARI,Home,PHI,,,,,,,,,,,,,,,,
"Tuesday, Sep 1",ARI,Home,PHI,,,,,,,,,,,,,,,,
"Wednesday, Sep 2",ARI,Home,PHI,,,,,,,,,,,,,,,,
"Friday, Sep 4",ARI,@,HOU,,,,,,,,,,,,,,,,
"Saturday, Sep 5",ARI,@,HOU,,,,,,,,,,,,,,,,
"Sunday, Sep 6",ARI,@,HOU,,,,,,,,,,,,,,,,
"Monday, Sep 7",ARI,@,KCR,,,,,,,,,,,,,,,,
"Tuesday, Sep 8",ARI,@,KCR,,,,,,,,,,,,,,,,
"Wednesday, Sep 9",ARI,@,KCR,,,,,,,,,,,,,,,,
"Friday, Sep 11",ARI,Home,TEX,,,,,,,,,,,,,,,,
"Saturday, Sep 12",ARI,Home,TEX,,,,,,,,,,,,,,,,
"Sunday, Sep 13",ARI,Home,TEX,,,,,,,,,,,,,,,,
"Monday, Sep 14",ARI,Home,MIA,,,,,,,,,,,,,,,,
"Tuesday, Sep 15",ARI,Home,MIA,,,,,,,,,,,,,,,,
"Wednesday, Sep 16",ARI,Home,MIA,,,,,,,,,,,,,,,,
"Friday, Sep 18",ARI,Home,NYY,,,,,,,,,,,,,,,,
"Saturday, Sep 19",ARI,Home,NYY,,,,,,,,,,,,,,,,
"Sunday, Sep 20",ARI,Home,NYY,,,,,,,,,,,,,,,,
"Tuesday, Sep 22",ARI,@,COL,,,,,,,,,,,,,,,,
"Wednesday, Sep 23",ARI,@,COL,,,,,,,,,,,,,,,,
"Thursday, Sep 24",ARI,@,COL,,,,,,,,,,,,,,,,
"Friday, Sep 25",ARI,@,SDP,,,,,,,,,,,,,,,,
"Saturday, Sep 26",ARI,@,SDP,,,,,,,,,,,,,,,,
"Friday, Mar 27",ATL,Home,KCR,W,6.0,0.0,9.0,1-0,1.0,Tied,Sale,Ragans,None,2:28,N,39697.0,.79,1.0,
"Saturday, Mar 28",ATL,Home,KCR,W-wo,6.0,2.0,9.0,2-0,1.0,Tied,Bido,Estévez,None,2:34,N,39362.0,.94,2.0,
"Sunday, Mar 29",ATL,Home,KCR,L,1.0,4.0,9.0,2-1,2.0,1.0,Lugo,Holmes,Erceg,2:11,D,37961.0,.94,-1.0,
"Monday, Mar 30",ATL,Home,ATH,W,4.0,0.0,9.0,3-1,1.0,Tied,Elder,Lopez,None,2:23,N,24478.0,1.09,1.0,
"Tuesday, Mar 31",ATL,Home,ATH,L,2.0,5.0,9.0,3-2,2.0,1.0,Civale,Suarez,Leiter,2:30,N,30799.0,.35,-1.0,
"Wednesday, Apr 1",ATL,Home,ATH,W,5.0,1.0,9.0,4-2,2.0,1.0,Sale,Severino,None,2:26,D,27568.0,.69,1.0,
"Thursday, Apr 2",ATL,@,ARI,W,17.0,2.0,9.0,5-2,2.0,0.5,López,Nelson,Bido,2:54,N,21600.0,1.04,2.0,
"Friday, Apr 3",ATL,@,ARI,W,2.0,0.0,9.0,6-2,1.0,up 0.5,Suarez,Sewald,Iglesias,2:18,N,29192.0,.97,3.0,
"Saturday, Apr 4",ATL,@,ARI,L,1.0,2.0,9.0,6-3,1.0,up 0.5,Soroka,Elder,Sewald,2:14,D,37457.0,1.19,-1.0,
"Sunday, Apr 5",ATL,@,ARI,L-wo,5.0,6.0,10.0,6-4,2.0,0.5,Rashi,Payamps,None,2:55,D,25814.0,.99,-2.0,
"Monday, Apr 6",ATL,@,LAA,L,2.0,6.0,9.0,6-5,4.0,0.5,Soriano,Sale,Romano,2:13,N,25471.0,.73,-3.0,
"Tuesday, Apr 7",ATL,@,LAA,W,7.0,2.0,9.0,7-5,2.0,0.5,Kinley,Kikuchi,Iglesias,3:21,N,40450.0,.93,1.0,
"Wednesday, Apr 8",ATL,@,LAA,W,8.0,2.0,9.0,8-5,1.0,up 0.5,Holmes,Detmers,None,2:45,D,21375.0,1.47,2.0,
"Friday, Apr 10",ATL,Home,CLE,W,11.0,5.0,9.0,9-5,1.0,up 1.0,Kinley,Cecconi,None,2:39,N,40363.0,1.09,3.0,
"Saturday, Apr 11",ATL,Home,CLE,L,0.0,6.0,9.0,9-6,1.0,up 1.0,Messick,Pérez,None,2:42,N,40195.0,1.44,-1.0,
"Sunday, Apr 12",ATL,Home,CLE,W,13.0,1.0,9.0,10-6,1.0,up 2.0,Sale,Bibee,Dodd,2:46,N,29084.0,.89,1.0,
"Monday, Apr 13",ATL,Home,MIA,L,4.0,10.0,9.0,10-7,1.0,up 1.0,Nardi,Bummer,None,2:58,N,22912.0,1.69,-1.0,
"Tuesday, Apr 14",ATL,Home,MIA,W,6.0,5.0,9.0,11-7,1.0,up 2.0,Suarez,Fairbanks,Iglesias,2:34,N,27441.0,.78,1.0,
"Wednesday, Apr 15",ATL,Home,MIA,W,6.0,3.0,9.0,12-7,1.0,up 3.0,Elder,Paddack,Iglesias,2:36,N,28884.0,1.17,2.0,
"Friday, Apr 17",ATL,@,PHI,W,9.0,0.0,9.0,13-7,1.0,up 4.0,Pérez,Walker,Suarez,2:34,N,43048.0,1.43,3.0,
"Saturday, Apr 18",ATL,@,PHI,W,3.0,1.0,9.0,14-7,1.0,up 5.0,Sale,Sánchez,Suarez,2:43,N,43423.0,1.07,4.0,
"Sunday, Apr 19",ATL,@,PHI,W,4.0,2.0,9.0,15-7,1.0,up 5.0,Kinley,Painter,Iglesias,3:03,N,36806.0,1.43,5.0,
"Monday, Apr 20",ATL,@,WSN,W,9.0,4.0,9.0,16-7,1.0,up 5.0,Elder,Irvin,None,2:28,N,12022.0,1.55,6.0,
"Tuesday, Apr 21",ATL,@,WSN,L,4.0,11.0,9.0,16-8,1.0,up 5.0,Griffin,López,None,3:01,N,16483.0,1.62,-1.0,
"Wednesday, Apr 22",ATL,@,WSN,W,8.0,6.0,9.0,17-8,1.0,up 5.0,Lee,Littell,Suarez,2:31,N,16308.0,1.41,1.0,
"Thursday, Apr 23",ATL,@,WSN,W,7.0,2.0,9.0,18-8,1.0,up 5.5,Ritchie,Pérez,None,2:32,D,14613.0,1.12,2.0,
"Friday, Apr 24",ATL,Home,PHI,W,5.0,3.0,9.0,19-8,1.0,up 5.5,Holmes,Painter,Suarez,2:40,N,39627.0,1.37,3.0,
"Saturday, Apr 25",ATL,Home,PHI,L,5.0,8.0,10.0,19-9,1.0,up 5.5,Keller,Kinley,None,2:59,N,39324.0,1.13,-1.0,
"Sunday, Apr 26",ATL,Home,PHI,W,6.0,2.0,9.0,20-9,1.0,up 6.5,Sale,Nola,None,2:44,D,39213.0,1.07,1.0,
"Tuesday, Apr 28",ATL,Home,DET,W,5.0,2.0,9.0,21-9,1.0,up 7.0,Pérez,Mize,None,2:36,N,32162.0,.25,2.0,
"Wednesday, Apr 29",ATL,Home,DET,W-wo,4.0,3.0,9.0,22-9,1.0,up 7.0,López,Jansen,None,2:22,N,30439.0,1.10,3.0,
"Thursday, Apr 30",ATL,Home,DET,L,2.0,5.0,9.0,22-10,1.0,up 6.5,Anderson,Payamps,Finnegan,2:50,D,32620.0,1.39,-1.0,
"Friday, May 1",ATL,@,COL,W,8.0,6.0,9.0,23-10,1.0,up 7.5,Fuentes,Mejia,Suarez,2:44,N,23548.0,1.53,1.0,
"Saturday, May 2",ATL,@,COL,W,9.0,1.0,9.0,24-10,1.0,up 7.5,Sale,Bernardino,None,2:33,N,38569.0,1.12,2.0,
"Sunday, May 3",ATL,@,COL,W,11.0,6.0,9.0,25-10,1.0,up 8.5,Bummer,Freeland,None,3:08,D,32994.0,.60,3.0,
"Monday, May 4",ATL,@,SEA,L,4.0,5.0,9.0,25-11,1.0,up 8.5,Gilbert,Kinley,Muñoz,2:37,N,26934.0,.63,-1.0,
"Tuesday, May 5",ATL,@,SEA,W,3.0,2.0,9.0,26-11,1.0,up 9.5,Suarez,Muñoz,Iglesias,2:20,N,27128.0,1.30,1.0,
"Wednesday, May 6",ATL,@,SEA,L,1.0,3.0,9.0,26-12,1.0,up 8.5,Woo,Pérez,Ferrer,2:27,D,23648.0,1.11,-1.0,
"Friday, May 8",ATL,@,LAD,L,1.0,3.0,9.0,26-13,1.0,up 7.0,Vesia,Sale,Scott,2:36,N,51255.0,2.04,-2.0,
"Saturday, May 9",ATL,@,LAD,W,7.0,2.0,9.0,27-13,1.0,up 8.0,Strider,Snell,None,2:46,N,50209.0,.53,1.0,
"Sunday, May 10",ATL,@,LAD,W,7.0,2.0,9.0,28-13,1.0,up 9.0,Elder,Wrobleski,None,2:13,D,49514.0,1.71,2.0,
"Tuesday, May 12",ATL,Home,CHC,W,5.0,2.0,9.0,29-13,1.0,up 9.0,Fuentes,Rea,Iglesias,2:23,N,38342.0,1.07,3.0,
"Wednesday, May 13",ATL,Home,CHC,W,4.0,1.0,9.0,30-13,1.0,up 9.0,Suarez,Imanaga,Iglesias,2:22,N,35540.0,.28,4.0,
"Thursday, May 14",ATL,Home,CHC,L,0.0,2.0,9.0,30-14,1.0,up 9.0,Milner,Sale,Palencia,2:30,N,36367.0,1.79,-1.0,
"Friday, May 15",ATL,Home,BOS,W-wo,3.0,2.0,10.0,31-14,1.0,up 9.0,Fuentes,Samaniego,None,2:50,N,39288.0,.93,1.0,
"Saturday, May 16",ATL,Home,BOS,L,2.0,3.0,9.0,31-15,1.0,up 8.0,Tolle,Elder,Chapman,2:06,N,39336.0,.76,-1.0,
"Sunday, May 17",ATL,Home,BOS,W,8.0,1.0,9.0,32-15,1.0,up 8.0,Holmes,Bello,None,2:29,D,37800.0,.81,1.0,
"Monday, May 18",ATL,@,MIA,L,0.0,12.0,9.0,32-16,1.0,up 7.0,Meyer,Ritchie,None,2:57,N,8672.0,1.11,-1.0,
"Tuesday, May 19",ATL,@,MIA,W,8.0,4.0,9.0,33-16,1.0,up 8.0,Lee,Faucher,None,3:03,D,7521.0,1.49,1.0,
"Wednesday, May 20",ATL,@,MIA,W,9.0,1.0,9.0,34-16,1.0,up 9.0,Sale,Junk,None,2:27,N,9617.0,1.33,2.0,
"Thursday, May 21",ATL,@,MIA,W,9.0,3.0,9.0,35-16,1.0,up 9.5,Strider,Alcantara,None,2:45,N,8834.0,.93,3.0,
"Friday, May 22",ATL,Home,WSN,W-wo,5.0,4.0,11.0,36-16,1.0,up10.5,Kinley,Schultz,None,3:13,N,36082.0,1.23,4.0,
"Saturday, May 23",ATL,Home,WSN,L,0.0,2.0,9.0,36-17,1.0,up 9.5,Irvin,Holmes,Lovelady,2:23,D,35819.0,1.06,-1.0,
