Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Saturday, May 2",SFG,@,TBR,L,1.0,5.0,9.0,13-20,5.0,7.0,Scholtens,Roupp,None,2:35,N,21973.0,.29,-5.0,
"Sunday, May 3",SFG,@,TBR,L-wo,1.0,2.0,10.0,13-21,5.0,8.0,Seymour,Kilian,None,2:33,D,20108.0,.50,-6.0,
"Monday, May 4",SFG,Home,SDP,W,3.0,2.0,9.0,14-21,4.0,8.0,McDonald,Vásquez,Kilian,2:09,N,33097.0,.82,1.0,
"Tuesday, May 5",SFG,Home,SDP,L,5.0,10.0,9.0,14-22,4.0,8.0,Buehler,Webb,None,2:30,N,38275.0,.53,-1.0,
"Wednesday, May 6",SFG,Home,SDP,L,1.0,5.0,9.0,14-23,4.0,9.0,Waldron,Houser,None,2:14,D,34181.0,.55,-2.0,
"Friday, May 8",SFG,Home,PIT,W,5.0,2.0,9.0,15-23,5.0,9.0,Ray,Mlodzinski,None,2:28,N,41024.0,.56,1.0,
"Saturday, May 9",SFG,Home,PIT,L,3.0,13.0,9.0,15-24,5.0,9.0,Ashcraft,Roupp,None,3:04,N,40417.0,.55,-1.0,
"Sunday, May 10",SFG,Home,PIT,W-wo,7.0,6.0,12.0,16-24,4.0,8.0,Borucki,Lawrence,None,3:51,D,41085.0,.35,1.0,
"Monday, May 11",SFG,@,LAD,W,9.0,3.0,9.0,17-24,4.0,7.5,Gage,Vesia,None,3:03,N,44298.0,.57,2.0,
"Tuesday, May 12",SFG,@,LAD,W,6.0,2.0,9.0,18-24,4.0,6.5,Houser,Yamamoto,Kilian,2:40,N,50029.0,.51,3.0,
"Wednesday, May 13",SFG,@,LAD,L,0.0,4.0,9.0,18-25,4.0,7.5,Ohtani,Ray,None,2:23,N,48043.0,.71,-1.0,
"Thursday, May 14",SFG,@,LAD,L,2.0,5.0,9.0,18-26,4.0,8.0,Sheehan,Roupp,Scott,2:48,N,51048.0,.59,-2.0,
"Friday, May 15",SFG,@,ATH,L,2.0,5.0,9.0,18-27,4.0,9.0,Civale,Mahle,Harris,2:27,N,12348.0,.31,-3.0,
"Saturday, May 16",SFG,@,ATH,W,6.0,4.0,9.0,19-27,4.0,9.0,McDonald,Severino,Gage,2:34,N,12489.0,.29,1.0,
"Sunday, May 17",SFG,@,ATH,W,10.0,1.0,9.0,20-27,4.0,9.0,Houser,Springs,None,2:45,D,12541.0,.28,2.0,
"Monday, May 18",SFG,@,ARI,L,2.0,12.0,9.0,20-28,4.0,9.5,Gallen,Ray,None,2:26,N,20072.0,.48,-1.0,
"Tuesday, May 19",SFG,@,ARI,L-wo,3.0,5.0,9.0,20-29,4.0,10.0,Loaisiga,Kilian,None,2:38,N,19548.0,.36,-2.0,
"Wednesday, May 20",SFG,@,ARI,L,3.0,6.0,9.0,20-30,4.0,11.0,Kelly,Mahle,Sewald,2:18,D,17748.0,.53,-3.0,
"Friday, May 22",SFG,Home,CHW,L,4.0,9.0,9.0,20-31,4.0,11.0,Martin,McDonald,None,2:39,N,37524.0,.26,-4.0,
"Saturday, May 23",SFG,Home,CHW,W,10.0,3.0,9.0,21-31,4.0,11.0,Gage,Fedde,None,2:47,D,40172.0,.21,1.0,
"Sunday, May 24",SFG,Home,CHW,W,8.0,5.0,9.0,22-31,4.0,11.0,Winn,Schultz,Kilian,2:56,D,40220.0,.03,2.0,
"Monday, May 25",SFG,Home,ARI,L,2.0,6.0,9.0,22-32,4.0,12.0,Kelly,Roupp,None,2:36,D,38380.0,.35,-1.0,
"Tuesday, May 26",SFG,Home,ARI,L,5.0,7.0,9.0,22-33,4.0,13.0,Rodríguez,Mahle,Sewald,2:38,N,32336.0,.45,-2.0,
"Wednesday, May 27",SFG,Home,ARI,L,2.0,3.0,9.0,22-34,4.0,14.0,Soroka,McDonald,Sewald,2:21,D,33258.0,.27,-3.0,
"Friday, May 29",SFG,@,COL,L-wo,6.0,8.0,9.0,22-35,4.0,15.0,Mejia,Kilian,None,3:06,N,28568.0,.14,-4.0,
"Saturday, May 30",SFG,@,COL,L,3.0,8.0,9.0,22-36,4.0,15.0,Feltner,Houser,None,2:33,N,31085.0,.18,-5.0,
"Sunday, May 31",SFG,@,COL,W,19.0,6.0,9.0,23-36,4.0,15.0,Kilian,Gordon,None,3:38,D,37965.0,.23,1.0,
"Monday, Jun 1",SFG,@,MIL,L,2.0,16.0,9.0,23-37,4.0,15.0,Patrick,Roupp,None,2:43,N,28154.0,.17,-1.0,
"Tuesday, Jun 2",SFG,@,MIL,L,3.0,8.0,9.0,23-38,5.0,16.0,Harrison,McDonald,None,2:57,N,29728.0,.25,-2.0,
"Wednesday, Jun 3",SFG,@,MIL,W,1.0,0.0,9.0,24-38,4.0,16.0,Webb,Gasser,Winn,2:20,N,31924.0,.11,1.0,
"Thursday, Jun 4",SFG,@,MIL,W,12.0,9.0,9.0,25-38,4.0,15.0,Hentges,Crow,Kilian,3:21,D,32570.0,.13,2.0,
"Friday, Jun 5",SFG,@,CHC,W,18.0,3.0,9.0,26-38,4.0,15.0,Ray,Cabrera,None,2:53,D,39060.0,.10,3.0,
"Saturday, Jun 6",SFG,@,CHC,L-wo,2.0,3.0,10.0,26-39,4.0,16.0,Rolison,Hentges,None,3:03,D,39248.0,.31,-1.0,
"Sunday, Jun 7",SFG,@,CHC,W,2.0,1.0,10.0,27-39,4.0,15.0,Winn,Thornton,Smith,3:04,N,36317.0,.25,1.0,
"Monday, Jun 8",SFG,Home,WSN,L,3.0,4.0,9.0,27-40,4.0,15.5,Beeter,Winn,Varland,2:31,N,35432.0,.17,-1.0,
"Tuesday, Jun 9",SFG,Home,WSN,L,3.0,6.0,9.0,27-41,4.0,16.5,Lord,Houser,None,3:17,N,35493.0,.23,-2.0,
"Wednesday, Jun 10",SFG,Home,WSN,W-wo,11.0,10.0,9.0,28-41,4.0,15.5,Sanmartin,Parker,None,3:02,D,32459.0,.13,1.0,
"Friday, Jun 12",SFG,Home,CHC,L,1.0,5.0,9.0,28-42,4.0,16.0,Assad,Roupp,None,2:31,N,38115.0,.22,-1.0,
"Saturday, Jun 13",SFG,Home,CHC,L,1.0,6.0,9.0,28-43,4.0,17.0,Brown,McDonald,None,3:03,N,35142.0,.19,-2.0,
"Sunday, Jun 14",SFG,Home,CHC,W,5.0,1.0,9.0,29-43,4.0,16.0,Webb,Rea,None,2:40,D,40093.0,.09,1.0,
"Tuesday, Jun 16",SFG,@,ATL,W,7.0,2.0,9.0,30-43,4.0,16.5,Ray,Holmes,None,2:41,D,31266.0,.22,2.0,
"Wednesday, Jun 17",SFG,@,ATL,W,7.0,5.0,9.0,31-43,4.0,16.5,Whisenhunt,Ritchie,Beck,2:51,N,35449.0,.04,3.0,
"Friday, Jun 19",SFG,@,MIA,L,3.0,4.0,9.0,31-44,4.0,17.5,Gibson,Hentges,Fairbanks,2:50,N,11677.0,.14,-1.0,
"Saturday, Jun 20",SFG,@,MIA,L,3.0,6.0,9.0,31-45,4.0,17.5,Meyer,McDonald,Fairbanks,3:08,D,22643.0,.27,-2.0,
"Sunday, Jun 21",SFG,@,MIA,,,,,,,,,,,,,,,,
"Tuesday, Jun 23",SFG,Home,ATH,,,,,,,,,,,,,,,,
"Wednesday, Jun 24",SFG,Home,ATH,,,,,,,,,,,,,,,,
"Thursday, Jun 25",SFG,Home,ATH,,,,,,,,,,,,,,,,
"Friday, Jun 26",SFG,Home,ATL,,,,,,,,,,,,,,,,
"Saturday, Jun 27",SFG,Home,ATL,,,,,,,,,,,,,,,,
"Sunday, Jun 28",SFG,Home,ATL,,,,,,,,,,,,,,,,
"Monday, Jun 29",SFG,@,ARI,,,,,,,,,,,,,,,,
"Tuesday, Jun 30",SFG,@,ARI,,,,,,,,,,,,,,,,
"Wednesday, Jul 1",SFG,@,ARI,,,,,,,,,,,,,,,,
"Friday, Jul 3",SFG,@,COL,,,,,,,,,,,,,,,,
"Saturday, Jul 4",SFG,@,COL,,,,,,,,,,,,,,,,
"Sunday, Jul 5",SFG,@,COL,,,,,,,,,,,,,,,,
"Monday, Jul 6",SFG,Home,TOR,,,,,,,,,,,,,,,,
"Tuesday, Jul 7",SFG,Home,TOR,,,,,,,,,,,,,,,,
"Wednesday, Jul 8",SFG,Home,TOR,,,,,,,,,,,,,,,,
"Thursday, Jul 9",SFG,Home,COL,,,,,,,,,,,,,,,,
"Friday, Jul 10",SFG,Home,COL,,,,,,,,,,,,,,,,
"Saturday, Jul 11",SFG,Home,COL,,,,,,,,,,,,,,,,
"Sunday, Jul 12",SFG,Home,COL,,,,,,,,,,,,,,,,
"Friday, Jul 17",SFG,@,SEA,,,,,,,,,,,,,,,,
"Saturday, Jul 18",SFG,@,SEA,,,,,,,,,,,,,,,,
"Sunday, Jul 19",SFG,@,SEA,,,,,,,,,,,,,,,,
"Monday, Jul 20",SFG,@,KCR,,,,,,,,,,,,,,,,
"Tuesday, Jul 21",SFG,@,KCR,,,,,,,,,,,,,,,,
"Wednesday, Jul 22",SFG,@,KCR,,,,,,,,,,,,,,,,
"Friday, Jul 24",SFG,Home,LAA,,,,,,,,,,,,,,,,
"Saturday, Jul 25",SFG,Home,LAA,,,,,,,,,,,,,,,,
"Sunday, Jul 26",SFG,Home,LAA,,,,,,,,,,,,,,,,
"Monday, Jul 27",SFG,Home,MIL,,,,,,,,,,,,,,,,
"Tuesday, Jul 28",SFG,Home,MIL,,,,,,,,,,,,,,,,
"Wednesday, Jul 29",SFG,Home,MIL,,,,,,,,,,,,,,,,
"Thursday, Jul 30",SFG,@,SDP,,,,,,,,,,,,,,,,
"Friday, Jul 31",SFG,@,SDP,,,,,,,,,,,,,,,,
"Saturday, Aug 1",SFG,@,SDP,,,,,,,,,,,,,,,,
"Sunday, Aug 2",SFG,@,SDP,,,,,,,,,,,,,,,,
"Monday, Aug 3",SFG,@,TEX,,,,,,,,,,,,,,,,
"Tuesday, Aug 4",SFG,@,TEX,,,,,,,,,,,,,,,,
"Wednesday, Aug 5",SFG,@,TEX,,,,,,,,,,,,,,,,
"Friday, Aug 7",SFG,Home,DET,,,,,,,,,,,,,,,,
"Saturday, Aug 8",SFG,Home,DET,,,,,,,,,,,,,,,,
"Sunday, Aug 9",SFG,Home,DET,,,,,,,,,,,,,,,,
"Monday, Aug 10",SFG,Home,HOU,,,,,,,,,,,,,,,,
"Tuesday, Aug 11",SFG,Home,HOU,,,,,,,,,,,,,,,,
"Wednesday, Aug 12",SFG,Home,HOU,,,,,,,,,,,,,,,,
"Friday, Aug 14",SFG,Home,COL,,,,,,,,,,,,,,,,
"Saturday, Aug 15",SFG,Home,COL,,,,,,,,,,,,,,,,
"Sunday, Aug 16",SFG,Home,COL,,,,,,,,,,,,,,,,
"Tuesday, Aug 18",SFG,@,CLE,,,,,,,,,,,,,,,,
"Wednesday, Aug 19",SFG,@,CLE,,,,,,,,,,,,,,,,
"Thursday, Aug 20",SFG,@,CLE,,,,,,,,,,,,,,,,
"Friday, Aug 21",SFG,@,BOS,,,,,,,,,,,,,,,,
"Saturday, Aug 22",SFG,@,BOS,,,,,,,,,,,,,,,,
"Sunday, Aug 23",SFG,@,BOS,,,,,,,,,,,,,,,,
"Monday, Aug 24",SFG,Home,CIN,,,,,,,,,,,,,,,,
"Tuesday, Aug 25",SFG,Home,CIN,,,,,,,,,,,,,,,,
"Wednesday, Aug 26",SFG,Home,CIN,,,,,,,,,,,,,,,,
"Thursday, Aug 27",SFG,Home,ARI,,,,,,,,,,,,,,,,
"Friday, Aug 28",SFG,Home,ARI,,,,,,,,,,,,,,,,
"Saturday, Aug 29",SFG,Home,ARI,,,,,,,,,,,,,,,,
"Sunday, Aug 30",SFG,Home,ARI,,,,,,,,,,,,,,,,
"Monday, Aug 31",SFG,@,ATL,,,,,,,,,,,,,,,,
"Tuesday, Sep 1",SFG,@,PIT,,,,,,,,,,,,,,,,
"Wednesday, Sep 2",SFG,@,PIT,,,,,,,,,,,,,,,,
"Thursday, Sep 3",SFG,@,PIT,,,,,,,,,,,,,,,,
"Friday, Sep 4",SFG,@,NYM,,,,,,,,,,,,,,,,
"Saturday, Sep 5",SFG,@,NYM,,,,,,,,,,,,,,,,
"Sunday, Sep 6",SFG,@,NYM,,,,,,,,,,,,,,,,
"Monday, Sep 7",SFG,Home,STL,,,,,,,,,,,,,,,,
"Tuesday, Sep 8",SFG,Home,STL,,,,,,,,,,,,,,,,
"Wednesday, Sep 9",SFG,Home,STL,,,,,,,,,,,,,,,,
"Friday, Sep 11",SFG,Home,SDP,,,,,,,,,,,,,,,,
"Saturday, Sep 12",SFG,Home,SDP,,,,,,,,,,,,,,,,
"Sunday, Sep 13",SFG,Home,SDP,,,,,,,,,,,,,,,,
"Monday, Sep 14",SFG,@,STL,,,,,,,,,,,,,,,,
"Tuesday, Sep 15",SFG,@,STL,,,,,,,,,,,,,,,,
"Wednesday, Sep 16",SFG,@,STL,,,,,,,,,,,,,,,,
"Friday, Sep 18",SFG,@,LAD,,,,,,,,,,,,,,,,
"Saturday, Sep 19",SFG,@,LAD,,,,,,,,,,,,,,,,
"Sunday, Sep 20",SFG,@,LAD,,,,,,,,,,,,,,,,
"Monday, Sep 21",SFG,Home,MIN,,,,,,,,,,,,,,,,
"Tuesday, Sep 22",SFG,Home,MIN,,,,,,,,,,,,,,,,
"Wednesday, Sep 23",SFG,Home,MIN,,,,,,,,,,,,,,,,
"Friday, Sep 25",SFG,Home,LAD,,,,,,,,,,,,,,,,
"Saturday, Sep 26",SFG,Home,LAD,,,,,,,,,,,,,,,,
"Thursday, Mar 26",SEA,Home,CLE,L,4.0,6.0,9.0,0-1,3.0,1.0,Brogdon,Speier,Smith,2:40,N,44938.0,.81,-1.0,
"Friday, Mar 27",SEA,Home,CLE,W,5.0,1.0,9.0,1-1,2.0,1.0,Kirby,Williams,None,2:32,N,36987.0,.81,1.0,
"Saturday, Mar 28",SEA,Home,CLE,L,5.0,6.0,10.0,1-2,3.0,1.0,Smith,Muñoz,Brogdon,3:23,N,43283.0,.74,-1.0,
"Sunday, Mar 29",SEA,Home,CLE,W,8.0,0.0,9.0,2-2,2.0,0.5,Hancock,Cecconi,Criswell,2:38,D,30800.0,.85,1.0,
"Monday, Mar 30",SEA,Home,NYY,W-wo,2.0,1.0,9.0,3-2,2.0,0.5,Brash,Blackburn,None,2:45,N,27291.0,1.27,2.0,
"Tuesday, Mar 31",SEA,Home,NYY,L,0.0,5.0,9.0,3-3,3.0,1.5,Fried,Gilbert,None,2:27,N,32790.0,1.24,-1.0,
"Wednesday, Apr 1",SEA,Home,NYY,L,3.0,5.0,9.0,3-4,3.0,2.0,Schlittler,Kirby,Bednar,2:37,D,23415.0,.85,-2.0,
"Friday, Apr 3",SEA,@,LAA,W,3.0,1.0,10.0,4-4,3.0,1.0,Muñoz,Suter,Speier,2:54,N,44931.0,.86,1.0,
"Saturday, Apr 4",SEA,@,LAA,L,0.0,1.0,9.0,4-5,3.0,2.0,Kochanowicz,Hancock,Romano,2:28,N,44084.0,1.45,-1.0,
"Sunday, Apr 5",SEA,@,LAA,L-wo,7.0,8.0,11.0,4-6,4.0,2.0,Anderson,Speier,None,3:37,D,27712.0,.96,-2.0,
