Home Team,Home Abbreviation,Home ID,Home Score,Home Q1,Home Q2,Home Q3,Home Q4,Away Team,Away Abbreviation,Away ID,Away Score,Away Q1,Away Q2,Away Q3,Away Q4
Philadelphia 76ers,PHI,20,136.0,33.0,39.0,29.0,35.0,Orlando Magic,ORL,19,124.0,28.0,32.0,34.0,30.0
Chicago Bulls,CHI,4,128.0,27.0,30.0,41.0,30.0,Atlanta Hawks,ATL,1,123.0,35.0,23.0,34.0,31.0
Houston Rockets,HOU,10,137.0,42.0,29.0,32.0,34.0,Brooklyn Nets,BKN,17,109.0,25.0,35.0,17.0,32.0
New Orleans Pelicans,NO,3,90.0,26.0,28.0,24.0,12.0,Boston Celtics,BOS,2,122.0,34.0,31.0,22.0,35.0
San Antonio Spurs,SA,24,121.0,41.0,28.0,26.0,26.0,Toronto Raptors,TOR,28,103.0,29.0,21.0,28.0,25.0
Dallas Mavericks,DAL,6,94.0,24.0,18.0,27.0,25.0,Oklahoma City Thunder,OKC,25,101.0,28.0,20.0,39.0,14.0
Utah Jazz,UTAH,26,138.0,39.0,25.0,30.0,30.0,Phoenix Suns,PHX,21,134.0,27.0,34.0,25.0,38.0
Minnesota Timberwolves,MIN,16,114.0,30.0,35.0,29.0,20.0,Denver Nuggets,DEN,7,127.0,34.0,23.0,45.0,25.0
Golden State Warriors,GS,9,131.0,36.0,29.0,36.0,30.0,Memphis Grizzlies,MEM,29,118.0,37.0,24.0,24.0,33.0
Los Angeles Lakers,LAL,13,108.0,24.0,27.0,26.0,31.0,Portland Trail Blazers,POR,22,122.0,28.0,29.0,32.0,33.0
Washington Wizards,WSH,27,134.0,40.0,32.0,38.0,16.0,Philadelphia 76ers,PHI,20,139.0,32.0,36.0,26.0,32.0
Miami Heat,MIA,14,144.0,37.0,39.0,29.0,39.0,Charlotte Hornets,CHA,30,117.0,34.0,26.0,28.0,29.0
Milwaukee Bucks,MIL,15,121.0,27.0,32.0,35.0,27.0,New York Knicks,NY,18,111.0,26.0,45.0,20.0,20.0
Oklahoma City Thunder,OKC,25,107.0,24.0,34.0,22.0,27.0,Sacramento Kings,SAC,23,101.0,29.0,33.0,21.0,18.0
Golden State Warriors,GS,9,98.0,33.0,13.0,32.0,20.0,LA Clippers,LAC,12,79.0,25.0,24.0,14.0,16.0
Toronto Raptors,TOR,28,121.0,30.0,33.0,28.0,30.0,Houston Rockets,HOU,10,139.0,39.0,31.0,36.0,33.0
Boston Celtics,BOS,2,125.0,40.0,35.0,23.0,27.0,Cleveland Cavaliers,CLE,5,105.0,42.0,18.0,25.0,20.0
Detroit Pistons,DET,8,135.0,29.0,36.0,36.0,34.0,Orlando Magic,ORL,19,116.0,36.0,28.0,28.0,24.0
Brooklyn Nets,BKN,17,112.0,27.0,24.0,32.0,29.0,Atlanta Hawks,ATL,1,117.0,34.0,30.0,30.0,23.0
Chicago Bulls,CHI,4,126.0,36.0,26.0,39.0,25.0,Sacramento Kings,SAC,23,113.0,33.0,31.0,27.0,22.0
Dallas Mavericks,DAL,6,107.0,25.0,27.0,29.0,26.0,Indiana Pacers,IND,11,105.0,30.0,25.0,19.0,31.0
Denver Nuggets,DEN,7,122.0,34.0,19.0,39.0,30.0,New Orleans Pelicans,NO,3,88.0,25.0,22.0,11.0,30.0
Utah Jazz,UTAH,26,134.0,43.0,30.0,25.0,36.0,Portland Trail Blazers,POR,22,136.0,33.0,46.0,38.0,19.0
Minnesota Timberwolves,MIN,16,115.0,34.0,24.0,28.0,29.0,Los Angeles Lakers,LAL,13,116.0,32.0,30.0,35.0,19.0
Phoenix Suns,PHX,21,113.0,26.0,27.0,25.0,35.0,Memphis Grizzlies,MEM,29,114.0,27.0,22.0,32.0,33.0
Charlotte Hornets,CHA,30,107.0,31.0,27.0,27.0,22.0,Orlando Magic,ORL,19,123.0,38.0,33.0,21.0,31.0
Milwaukee Bucks,MIL,15,120.0,34.0,26.0,27.0,33.0,Golden State Warriors,GS,9,110.0,25.0,33.0,26.0,26.0
Oklahoma City Thunder,OKC,25,127.0,28.0,31.0,33.0,35.0,Washington Wizards,WSH,27,108.0,20.0,29.0,35.0,24.0
San Antonio Spurs,SA,24,107.0,33.0,26.0,28.0,20.0,Miami Heat,MIA,14,101.0,31.0,27.0,14.0,29.0
Indiana Pacers,IND,11,108.0,29.0,30.0,17.0,32.0,Atlanta Hawks,ATL,1,128.0,32.0,31.0,34.0,31.0
Philadelphia 76ers,PHI,20,108.0,25.0,32.0,25.0,26.0,Boston Celtics,BOS,2,109.0,38.0,30.0,21.0,20.0
Cleveland Cavaliers,CLE,5,101.0,22.0,21.0,34.0,24.0,Toronto Raptors,TOR,28,112.0,30.0,18.0,33.0,31.0
Chicago Bulls,CHI,4,135.0,35.0,37.0,28.0,35.0,New York Knicks,NY,18,125.0,27.0,26.0,38.0,34.0
Memphis Grizzlies,MEM,29,112.0,27.0,42.0,22.0,21.0,Los Angeles Lakers,LAL,13,117.0,31.0,24.0,34.0,28.0
Phoenix Suns,PHX,21,118.0,37.0,17.0,29.0,35.0,Utah Jazz,UTAH,26,96.0,17.0,23.0,27.0,29.0
Portland Trail Blazers,POR,22,109.0,18.0,35.0,18.0,38.0,Denver Nuggets,DEN,7,107.0,26.0,31.0,24.0,26.0
LA Clippers,LAC,12,126.0,26.0,41.0,27.0,32.0,New Orleans Pelicans,NO,3,124.0,28.0,31.0,25.0,40.0
Milwaukee Bucks,MIL,15,133.0,47.0,24.0,31.0,31.0,Sacramento Kings,SAC,23,135.0,36.0,34.0,38.0,27.0
Charlotte Hornets,CHA,30,105.0,31.0,25.0,18.0,31.0,Minnesota Timberwolves,MIN,16,122.0,25.0,25.0,36.0,36.0
Indiana Pacers,IND,11,114.0,28.0,25.0,29.0,32.0,Golden State Warriors,GS,9,109.0,32.0,26.0,30.0,21.0
Washington Wizards,WSH,27,94.0,35.0,21.0,19.0,19.0,Orlando Magic,ORL,19,125.0,32.0,43.0,28.0,22.0
Boston Celtics,BOS,2,101.0,24.0,24.0,24.0,29.0,Houston Rockets,HOU,10,128.0,37.0,29.0,31.0,31.0
Detroit Pistons,DET,8,122.0,27.0,32.0,28.0,35.0,Dallas Mavericks,DAL,6,110.0,30.0,31.0,32.0,17.0
Oklahoma City Thunder,OKC,25,137.0,39.0,36.0,33.0,29.0,New Orleans Pelicans,NO,3,106.0,22.0,30.0,30.0,24.0
Brooklyn Nets,BKN,17,105.0,37.0,18.0,23.0,27.0,Philadelphia 76ers,PHI,20,129.0,40.0,33.0,17.0,39.0
Charlotte Hornets,CHA,30,126.0,39.0,32.0,33.0,22.0,Utah Jazz,UTAH,26,103.0,25.0,23.0,38.0,17.0
Cleveland Cavaliers,CLE,5,117.0,31.0,19.0,28.0,39.0,Atlanta Hawks,ATL,1,109.0,22.0,30.0,24.0,33.0
Toronto Raptors,TOR,28,117.0,26.0,27.0,31.0,33.0,Memphis Grizzlies,MEM,29,104.0,23.0,24.0,24.0,33.0
New York Knicks,NY,18,128.0,34.0,34.0,37.0,23.0,Chicago Bulls,CHI,4,116.0,24.0,36.0,29.0,27.0
Phoenix Suns,PHX,21,130.0,31.0,39.0,32.0,28.0,San Antonio Spurs,SA,24,118.0,24.0,28.0,26.0,40.0
Los Angeles Lakers,LAL,13,130.0,43.0,34.0,25.0,28.0,Miami Heat,MIA,14,120.0,36.0,27.0,35.0,22.0
Brooklyn Nets,BKN,17,109.0,28.0,31.0,29.0,21.0,Minnesota Timberwolves,MIN,16,125.0,28.0,35.0,28.0,34.0
Indiana Pacers,IND,11,115.0,22.0,31.0,24.0,38.0,Milwaukee Bucks,MIL,15,117.0,31.0,25.0,28.0,33.0
Boston Celtics,BOS,2,103.0,25.0,21.0,26.0,31.0,Utah Jazz,UTAH,26,105.0,21.0,15.0,38.0,31.0
New York Knicks,NY,18,119.0,22.0,35.0,41.0,21.0,Washington Wizards,WSH,27,102.0,30.0,24.0,24.0,24.0
Houston Rockets,HOU,10,110.0,24.0,34.0,23.0,29.0,Dallas Mavericks,DAL,6,102.0,28.0,27.0,23.0,24.0
Memphis Grizzlies,MEM,29,106.0,25.0,23.0,26.0,32.0,Detroit Pistons,DET,8,114.0,32.0,26.0,25.0,31.0
Denver Nuggets,DEN,7,130.0,39.0,33.0,32.0,26.0,Sacramento Kings,SAC,23,124.0,30.0,33.0,30.0,31.0
Portland Trail Blazers,POR,22,115.0,33.0,20.0,33.0,29.0,Los Angeles Lakers,LAL,13,123.0,24.0,28.0,38.0,33.0
LA Clippers,LAC,12,119.0,30.0,41.0,24.0,24.0,Miami Heat,MIA,14,120.0,32.0,34.0,37.0,17.0
Toronto Raptors,TOR,28,128.0,39.0,34.0,32.0,23.0,Milwaukee Bucks,MIL,15,100.0,29.0,25.0,26.0,20.0
Atlanta Hawks,ATL,1,127.0,32.0,32.0,34.0,29.0,Orlando Magic,ORL,19,112.0,23.0,24.0,30.0,35.0
Chicago Bulls,CHI,4,113.0,27.0,29.0,28.0,29.0,Philadelphia 76ers,PHI,20,111.0,45.0,30.0,20.0,16.0
New Orleans Pelicans,NO,3,116.0,33.0,28.0,26.0,29.0,Charlotte Hornets,CHA,30,112.0,30.0,29.0,34.0,19.0
Golden State Warriors,GS,9,118.0,33.0,35.0,24.0,26.0,Phoenix Suns,PHX,21,107.0,19.0,30.0,34.0,24.0
LA Clippers,LAC,12,107.0,33.0,24.0,29.0,21.0,Oklahoma City Thunder,OKC,25,126.0,23.0,33.0,38.0,32.0
Cleveland Cavaliers,CLE,5,132.0,41.0,29.0,37.0,25.0,Philadelphia 76ers,PHI,20,121.0,27.0,40.0,20.0,34.0
Detroit Pistons,DET,8,114.0,28.0,25.0,25.0,36.0,Utah Jazz,UTAH,26,103.0,30.0,25.0,14.0,34.0
Indiana Pacers,IND,11,103.0,18.0,41.0,24.0,20.0,Brooklyn Nets,BKN,17,112.0,25.0,29.0,26.0,32.0
Boston Celtics,BOS,2,136.0,26.0,44.0,32.0,34.0,Washington Wizards,WSH,27,107.0,37.0,23.0,20.0,27.0
New York Knicks,NY,18,137.0,28.0,26.0,40.0,43.0,Minnesota Timberwolves,MIN,16,114.0,26.0,32.0,28.0,28.0
Memphis Grizzlies,MEM,29,109.0,22.0,29.0,29.0,29.0,Houston Rockets,HOU,10,124.0,34.0,26.0,34.0,30.0
Dallas Mavericks,DAL,6,99.0,19.0,30.0,28.0,22.0,New Orleans Pelicans,NO,3,101.0,29.0,23.0,26.0,23.0
Denver Nuggets,DEN,7,122.0,36.0,32.0,33.0,21.0,Miami Heat,MIA,14,112.0,33.0,27.0,26.0,26.0
Los Angeles Lakers,LAL,13,118.0,26.0,34.0,28.0,30.0,San Antonio Spurs,SA,24,116.0,29.0,30.0,37.0,20.0
Portland Trail Blazers,POR,22,121.0,21.0,36.0,24.0,40.0,Oklahoma City Thunder,OKC,25,119.0,41.0,24.0,21.0,33.0
Sacramento Kings,SAC,23,121.0,25.0,32.0,35.0,29.0,Golden State Warriors,GS,9,116.0,32.0,30.0,23.0,31.0
Phoenix Suns,PHX,21,115.0,31.0,17.0,40.0,27.0,LA Clippers,LAC,12,102.0,27.0,24.0,23.0,28.0
Orlando Magic,ORL,19,123.0,38.0,21.0,25.0,39.0,Boston Celtics,BOS,2,110.0,25.0,26.0,29.0,30.0
Washington Wizards,WSH,27,115.0,26.0,34.0,27.0,28.0,Cleveland Cavaliers,CLE,5,148.0,39.0,37.0,33.0,39.0
Atlanta Hawks,ATL,1,97.0,26.0,27.0,24.0,20.0,Toronto Raptors,TOR,28,109.0,26.0,18.0,29.0,36.0
Brooklyn Nets,BKN,17,107.0,29.0,26.0,19.0,33.0,Detroit Pistons,DET,8,125.0,27.0,33.0,34.0,31.0
San Antonio Spurs,SA,24,121.0,23.0,28.0,35.0,35.0,Houston Rockets,HOU,10,110.0,25.0,25.0,32.0,28.0
Miami Heat,MIA,14,126.0,53.0,19.0,22.0,32.0,Charlotte Hornets,CHA,30,108.0,33.0,36.0,19.0,20.0
Memphis Grizzlies,MEM,29,118.0,34.0,40.0,28.0,16.0,Dallas Mavericks,DAL,6,104.0,24.0,27.0,29.0,24.0
Milwaukee Bucks,MIL,15,126.0,23.0,30.0,32.0,41.0,Chicago Bulls,CHI,4,110.0,25.0,27.0,28.0,30.0
Minnesota Timberwolves,MIN,16,137.0,43.0,36.0,25.0,33.0,Utah Jazz,UTAH,26,97.0,15.0,30.0,22.0,30.0
Denver Nuggets,DEN,7,129.0,32.0,34.0,33.0,30.0,Golden State Warriors,GS,9,104.0,21.0,28.0,28.0,27.0
